,time,open,high,low,close,tick_volume,spread,real_volume,sma25,sma50,sma75,sma100,sma200
5324,2020-01-08 20:00:00,0.6875,0.68752,0.68733,0.68734,172,16,0,0.6866539999999993,0.6862074000000006,0.6862766666666663,0.6864116000000007,0.6868350499999987
5325,2020-01-08 20:05:00,0.68735,0.68748,0.68733,0.68735,117,16,0,0.6867419999999993,0.6862210000000006,0.6862818666666664,0.6864114000000007,0.6868419499999987
5326,2020-01-08 20:10:00,0.68735,0.68737,0.68725,0.68731,109,17,0,0.6868307999999993,0.6862384000000006,0.6862859999999997,0.6864086000000006,0.6868470999999987
5327,2020-01-08 20:15:00,0.68731,0.68731,0.68715,0.68721,209,16,0,0.6869223999999994,0.6862510000000006,0.6862878666666664,0.6864094000000006,0.6868503999999986
5328,2020-01-08 20:20:00,0.68721,0.6873,0.68712,0.68727,158,16,0,0.6870187999999995,0.6862650000000005,0.686291333333333,0.6864147000000006,0.6868514999999986
5329,2020-01-08 20:25:00,0.68725,0.68738,0.68725,0.68738,173,17,0,0.6871191999999995,0.6862812000000004,0.686293733333333,0.6864217000000007,0.6868551999999986
5330,2020-01-08 20:30:00,0.68738,0.68752,0.68735,0.68739,164,17,0,0.6871963999999996,0.6863024000000004,0.6862994666666663,0.6864298000000005,0.6868589999999984
5331,2020-01-08 20:35:00,0.6874,0.68749,0.68737,0.68749,127,16,0,0.6872787999999995,0.6863244000000003,0.6863090666666662,0.6864391000000005,0.6868642499999984
5332,2020-01-08 20:40:00,0.68749,0.68758,0.68729,0.6873,138,16,0,0.6873223999999997,0.6863472000000003,0.6863191999999996,0.6864478000000004,0.6868659499999984
5333,2020-01-08 20:45:00,0.6873,0.68735,0.68721,0.68721,100,17,0,0.6873335999999997,0.6863740000000003,0.686330933333333,0.6864552000000004,0.6868645999999984
5334,2020-01-08 20:50:00,0.68718,0.68719,0.687,0.68702,103,17,0,0.6873435999999997,0.6864014000000002,0.6863411999999995,0.6864599000000005,0.6868634999999983
5335,2020-01-08 20:55:00,0.68702,0.68711,0.68701,0.68706,117,17,0,0.6873343999999996,0.6864286000000003,0.6863542666666663,0.6864652000000003,0.6868628499999985
5336,2020-01-08 21:00:00,0.68706,0.68713,0.687,0.68706,174,17,0,0.6873419999999996,0.6864588000000004,0.6863658666666663,0.6864673000000003,0.6868639499999984
5337,2020-01-08 21:05:00,0.68706,0.68709,0.68699,0.68701,103,17,0,0.6873403999999996,0.6864852000000004,0.686378533333333,0.6864695000000003,0.6868641999999984
5338,2020-01-08 21:10:00,0.68701,0.68702,0.68692,0.68696,108,16,0,0.6873183999999997,0.6865090000000004,0.6863890666666663,0.6864730000000003,0.6868649499999984
5339,2020-01-08 21:15:00,0.68696,0.68697,0.68684,0.68689,147,17,0,0.6872991999999997,0.6865306000000004,0.6864009333333331,0.6864756000000004,0.6868617999999984
5340,2020-01-08 21:20:00,0.68689,0.68699,0.68688,0.68694,95,17,0,0.6872815999999996,0.6865558000000004,0.6864109333333329,0.6864751000000006,0.6868584499999983
5341,2020-01-08 21:25:00,0.68694,0.68703,0.68692,0.68698,87,16,0,0.6872655999999995,0.6865878000000003,0.6864207999999996,0.6864758000000006,0.6868539499999983
5342,2020-01-08 21:30:00,0.68698,0.68701,0.68697,0.68698,90,17,0,0.6872355999999995,0.6866232000000003,0.686432933333333,0.6864775000000007,0.6868485999999983
5343,2020-01-08 21:35:00,0.68698,0.68707,0.68693,0.68701,63,17,0,0.6872183999999996,0.6866610000000004,0.6864499999999997,0.6864789000000008,0.6868457999999983
